model,source_project,target_project,src_wpl_mrr,cpt_mrr,wps_mrr,wpl_mrr,delta_mrr,tgt_LoC,tgt_n_bugs,transfer
COOBA,wagtail/wagtail,jupyterlab/jupyterlab,0.07866666666666666,0.2991,0.112,0.2515,0.1871,39372,197,positive
COOBA,jupyterlab/jupyterlab,qiskit/qiskit,0.23553333333333334,0.0938,0.1172,0.1408,-0.023400000000000004,435173,1336,negative
COOBA,mesonbuild/meson,jupyterlab/jupyterlab,0.09223333333333333,0.0908,0.2424,0.143,-0.1516,39372,197,negative
COOBA,jupyterlab/jupyterlab,localstack/localstack,0.23553333333333334,0.1695,0.1414,0.1788,0.028100000000000014,571611,472,positive
COOBA,lightning-ai/lightning,pydata/xarray,0.40622857142857144,0.103,0.0857,0.1818,0.017299999999999996,142044,110,positive
COOBA,pydata/xarray,lightning-ai/lightning,0.2573,0.3125,0.1504,0.4053,0.1621,51387,366,positive
COOBA,localstack/localstack,jupyterlab/jupyterlab,0.1721,0.2205,0.2072,0.2762,0.013300000000000006,39372,197,positive
COOBA,lightning-ai/lightning,prefecthq/prefect,0.40622857142857144,0.1862,0.187,0.1829,-0.0007999999999999952,107073,404,neutral
COOBA,lightning-ai/lightning,ipython/ipython,0.40622857142857144,0.075,0.0343,0.0959,0.0407,77778,832,positive
COOBA,qiskit/qiskit,jupyterlab/jupyterlab,0.14483333333333334,0.093,0.1774,0.3078,-0.0844,39372,197,negative
COOBA,prefecthq/prefect,lightning-ai/lightning,0.19458333333333333,0.3639,0.3609,0.416,0.0030000000000000027,51387,366,neutral
COOBA,lightning-ai/lightning,scikit-learn/scikit-learn,0.40622857142857144,0.0479,0.0446,0.0435,0.0032999999999999974,376169,228,neutral
COOBA,lightning-ai/lightning,numpy/numpy,0.40622857142857144,0.0657,0.0581,0.1015,0.007599999999999996,276548,789,neutral
COOBA,scikit-learn/scikit-learn,lightning-ai/lightning,0.0294,0.4367,0.4014,0.3588,0.0353,51387,366,positive
COOBA,lightning-ai/lightning,ansible/ansible,0.40622857142857144,0.0084,0.0061,0.0055,0.002299999999999999,348229,768,neutral
COOBA,numpy/numpy,lightning-ai/lightning,0.09761428571428572,0.252,0.3262,0.4336,-0.07419999999999999,51387,366,negative
COOBA,ansible/ansible,lightning-ai/lightning,0.008,0.4223,0.2252,0.4006,0.1971,51387,366,positive
COOBA,lightning-ai/lightning,wagtail/wagtail,0.40622857142857144,0.0233,0.0342,0.0794,-0.0109,285999,404,negative
COOBA,lightning-ai/lightning,localstack/localstack,0.40622857142857144,0.1581,0.1432,0.1607,0.014899999999999997,571611,472,positive
COOBA,localstack/localstack,lightning-ai/lightning,0.1721,0.4165,0.3129,0.4247,0.10359999999999997,51387,366,positive
COOBA,prefecthq/prefect,scikit-learn/scikit-learn,0.19458333333333333,0.0284,0.02,0.0232,0.008400000000000001,376169,228,neutral
COOBA,prefecthq/prefect,pydata/xarray,0.19458333333333333,0.2467,0.1612,0.2701,0.08549999999999999,142044,110,positive
COOBA,scikit-learn/scikit-learn,prefecthq/prefect,0.0294,0.1928,0.1552,0.207,0.037599999999999995,107073,404,positive
COOBA,pydata/xarray,prefecthq/prefect,0.2573,0.1422,0.1553,0.1767,-0.0131,107073,404,negative
COOBA,prefecthq/prefect,ansible/ansible,0.19458333333333333,0.0088,0.0097,0.0108,-0.0008999999999999998,348229,768,neutral
COOBA,ansible/ansible,prefecthq/prefect,0.008,0.2129,0.1729,0.2129,0.04000000000000001,107073,404,positive
COOBA,prefecthq/prefect,wagtail/wagtail,0.19458333333333333,0.0494,0.0521,0.0795,-0.002700000000000001,285999,404,neutral
COOBA,pydata/xarray,scikit-learn/scikit-learn,0.2573,0.0157,0.0165,0.0233,-0.0008000000000000021,376169,228,neutral
COOBA,scikit-learn/scikit-learn,pydata/xarray,0.0294,0.2057,0.0861,0.302,0.1196,142044,110,positive
COOBA,numpy/numpy,qiskit/qiskit,0.09761428571428572,0.1062,0.1264,0.161,-0.02020000000000001,435173,1336,negative
COOBA,numpy/numpy,mesonbuild/meson,0.09761428571428572,0.1024,0.088,0.0916,0.01440000000000001,121402,937,positive
COOBA,qiskit/qiskit,numpy/numpy,0.14483333333333334,0.1,0.0515,0.0934,0.04850000000000001,276548,789,positive
