model_name,source_project,target_project,MRR,MAP,tgt_LoC,src_LoC,tgt_total_unique_bug_reports,src_total_unique_bug_reports,loc_ratio,tgt_bug_report_verbosity,src_bug_report_verbosity,domain_gap,mrr_wps,map_wps,delta_mrr,delta_map,transfer
COOBA,numpy/numpy,scikit-learn/scikit-learn,0.0072960815777268,0.0080908244441707,376169,276548,228,789,0.7351695647435043,231.8122271,161.5720384,0.9762595621208124,0.0281459276167514,0.0266873821824821,-0.0208498460390246,-0.0185965577383114,negative
BLAZE,jupyterlab/jupyterlab,qiskit/qiskit,0.3988,0.3276,435173,39372,1336,197,0.09047436306939978,183.5106686,194.7014925,0.98747932908103,0.3815,0.3059,0.017299999999999982,0.021699999999999997,positive
BLAZE,lightning-ai/lightning,ipython/ipython,0.376,0.3172,77778,51387,832,366,0.6606881123196705,134.7788235,188.469496,0.9918273260687342,0.3312,0.2925,0.044800000000000006,0.0247,positive
BLAZE,qiskit/qiskit,jupyterlab/jupyterlab,0.3752,0.2912,39372,435173,197,1336,11.052854820684471,194.7014925,183.5106686,0.98747932908103,0.0452,0.0456,0.32999999999999996,0.2456,positive
BLAZE,lightning-ai/lightning,ansible/ansible,0.3811,0.2984,348229,51387,768,366,0.1475666874384381,344.621519,188.469496,0.9914505283381364,0.293,0.2307,0.08810000000000001,0.06770000000000001,positive
BLAZE,ansible/ansible,lightning-ai/lightning,0.4491,0.3345,51387,348229,366,768,6.77659719384267,188.469496,344.621519,0.9914505283381364,0.3154,0.2401,0.13369999999999999,0.09440000000000001,positive
BLAZE,lightning-ai/lightning,wagtail/wagtail,0.3117,0.2614,285999,51387,404,366,0.17967545341067565,202.1521739,188.469496,0.9926396305383172,0.2153,0.168,0.09639999999999999,0.09340000000000001,positive
BLAZE,lightning-ai/lightning,localstack/localstack,0.3074,0.2158,571611,51387,472,366,0.08989854988794811,290.4632207,188.469496,0.9819277108433736,0.3122,0.1984,-0.004799999999999971,0.0174,neutral
BLAZE,prefecthq/prefect,mesonbuild/meson,0.4146,0.3413,121402,107073,937,404,0.8819706429877524,163.0513627,133.6437346,0.992563212692117,0.3197,0.2641,0.09490000000000004,0.07719999999999999,positive
BLAZE,localstack/localstack,lightning-ai/lightning,0.4845,0.3634,51387,571611,366,472,11.123649950376338,188.469496,290.4632207,0.9819277108433736,0.3504,0.2846,0.1341,0.07879999999999998,positive
BLAZE,prefecthq/prefect,wagtail/wagtail,0.2899,0.231,285999,107073,404,404,0.3743824279105858,202.1521739,133.6437346,0.9826755242933436,0.2052,0.1533,0.0847,0.07770000000000002,positive
BLAZE,prefecthq/prefect,ansible/ansible,0.2701,0.214,348229,107073,768,404,0.3074786993616261,344.621519,133.6437346,0.9923821473382328,0.2926,0.2267,-0.02250000000000002,-0.012700000000000017,negative
BLAZE,ansible/ansible,prefecthq/prefect,0.3317,0.2343,107073,348229,404,768,3.2522578054224383,133.6437346,344.621519,0.9923821473382328,0.2531,0.1942,0.0786,0.0401,positive
BLAZE,numpy/numpy,localstack/localstack,0.3029,0.193,571611,276548,472,789,0.4838045453988805,290.4632207,161.5720384,0.9931328439497988,0.274,0.1673,0.02889999999999998,0.0257,positive
BLAZE,numpy/numpy,mesonbuild/meson,0.3782,0.3211,121402,276548,937,789,2.2779525872720194,163.0513627,161.5720384,0.9874739039665972,0.3807,0.3023,-0.0025000000000000022,0.018799999999999983,neutral
BLAZE,localstack/localstack,numpy/numpy,0.4036,0.3593,276548,571611,789,472,2.0669504028233723,161.5720384,290.4632207,0.9931328439497988,0.3956,0.3523,0.008000000000000007,0.007000000000000006,neutral
